Sample Id,57814,52984,20675,62562,39609,57554,62805,63042,48691,34383,40479,33419,63589,61871,32397,62069,63358,62557,22001,31943,27672,12017,32445,15749,63072,48441,38309,1669,63612,48442,43582,61769,63230,1494,37185,34390,62955,32827,37209,37202,37203,37211,37210,61846,54923,2137,53254,37112,34396,1769,18368,514,33941,62287,57520,32388,48406,57519,47112,48715,47114,52473,61881,61887,61876,62065,52974,52983,22138,35322,3127,15716,53010,40045,37059,18374,1585,43488,47101,63254,61775,52944,57745,31932,48990,42370,37058,48454,2125,62890,32807,12261,36850,35669,18392,604,37097,54910,63853,57517,Target
111-0035-01,0.5432,0.5424,1.3115,0.8294,0.2725,0.4673,6.8135,0.3748,1.3986,1.185,2.4076,0.6108,0.4929,3.5836,0.6296,0.4023,0.5906,0.71,0.9338,28.0783,1.2547,3.6504,2.5751,0.8385,1.349,1.3928,1.16,0.959,0.2035,1.0838,1.6085,1.4656,2.993,0.2968,0.339,0.714,0.0312,0.224,0.2882,0.1924,0.2044,0.1238,0.2574,0.3846,1.2224,1.3423,0.4884,3.9648,1.42,0.7303,1.4786,0.1599,0.2038,4.9133,1.0069,1.7221,0.8046,0.3752,0.1105,2.0329,1.4233,0.4621,3.1001,0.4856,1.4976,1.0352,0.479,3.73,0.7166,3.7123,0.2635,0.8654,1.7308,0.0805,33.3443,3.637,0.1334,0.5314,6.2724,2.3473,0.5811,1.3403,1.8147,5.036,0.4756,2.8451,3.083,12.8147,0.4957,2.4115,0.8171,1.0915,1.1818,0.2991,1.5124,0.834,0.7126,10.1028,25.5566,1.5069,1
111-0044-01,2.1735,1.0779,0.4484,0.974,0.2456,0.8494,8.0294,0.3748,0.6312,0.7713,2.8811,1.1529,1.3914,1.0,12.5668,1.0306,0.1221,0.2349,11.0244,0.4309,1.0,0.7041,0.9657,0.7893,5.3052,1.2191,1.3225,8.0394,15.8737,2.079,0.4429,8.9567,0.7579,2.3961,18.3726,1.5655,0.0312,1.8278,3.067,1.9376,1.6136,1.4981,1.8653,2.7477,1.5255,1.0501,0.6166,1.3285,0.7673,2.3912,1.6342,1.7908,1.6162,1.6044,1.1852,1.7623,4.8058,3.0685,0.3655,2.2301,2.5184,1.2242,0.643,0.2394,14.6642,0.7849,0.4987,1.803,0.6184,1.1944,0.2635,1.2927,0.2939,0.0518,1.0849,3.5137,1.1103,0.3789,0.6259,0.599,1.9236,1.5114,1.0,0.1561,2.9774,1.1949,0.6954,0.8033,0.4644,2.0286,3.4576,1.4406,0.8747,2.2989,0.9919,5.0077,1.2536,0.7942,0.4269,1.5745,1
111-049-01,1.316,12.7711,1.6439,1.9963,0.4978,1.254,0.2617,0.9815,2.207,1.098,0.313,0.8552,1.37,1.7907,0.6901,0.6047,0.6726,0.9784,1.1616,1.0703,6.5398,0.6868,2.5483,1.1304,4.1248,2.7213,0.5621,0.8435,0.2035,0.5619,2.7283,0.5106,2.9304,0.7863,1.2518,0.4601,0.0312,0.224,0.5168,0.4419,0.3967,0.5943,0.78,1.4607,2.915,4.3734,1.2628,0.713,1.2385,1.7338,0.1729,0.3984,0.5944,1.212,1.5395,1.2021,0.4417,1.9244,0.0607,0.4102,0.4553,0.8807,0.2153,0.0583,0.556,0.5701,3.7185,0.5261,1.4004,2.0926,0.2635,0.6572,0.2939,0.0518,0.2237,4.2912,0.3582,0.5205,1.6743,0.1302,0.7741,0.9281,2.3154,0.2142,1.9387,0.0425,2.0119,0.8975,1.0252,0.7578,0.4158,0.7872,0.1362,2.3458,1.4483,5.2147,0.6392,2.5946,2.3662,0.9644,1
126-0005-01,2.0185,2.5273,0.1191,0.3455,4.9559,1.1401,1.1872,0.3748,0.7217,2.5572,2.9452,1.4144,0.1932,32.1877,1.572,3.1259,1.1605,3.8239,1.2441,0.1965,2.2164,19.0137,0.5093,0.6498,0.9743,56.2872,0.5403,2.4263,1.7192,0.5109,0.0884,0.3757,0.5661,2.5668,9.7722,1.3619,0.1436,2.0436,3.2058,2.6132,3.7478,1.8737,14.226,2.5634,0.5238,4.8123,0.183,0.8481,4.8546,1.2634,16.7188,0.1599,2.9838,0.8138,1.1842,1.2623,0.3871,4.9955,1.117,0.2729,4.3956,1.9939,1.0,0.1691,3.6297,0.415,0.2089,1.7922,1.4793,11.4082,0.4967,0.9239,2.839,96.7361,0.3187,8.4586,4.0226,1.2238,0.2888,0.4553,24.0585,6.8738,0.7315,0.5365,1.8269,3.8108,0.8041,1.5862,0.7291,4.1624,1.2542,0.8471,0.9614,0.0598,0.5375,27.9313,0.4301,3.8362,4.1975,3.248,0
126-0017-02,0.2643,6.6154,0.1191,0.747,0.3309,0.9843,2.9648,1.2223,3.2862,0.2931,1.0565,1.7012,0.6666,10.1503,0.2214,0.8129,0.1221,1.5789,1.0844,63.2153,3.1243,0.5541,0.1759,0.2595,0.3745,0.188,0.7715,1.1658,0.4894,0.4365,0.5355,0.2029,0.2889,0.5614,0.5793,0.7963,0.0312,1.0982,0.9396,1.12,1.2364,0.5366,0.9737,0.7891,1.3723,0.0982,0.183,0.9218,0.3542,0.7764,1.3726,1.7872,1.153,1.0917,0.3817,0.427,1.657,0.8418,0.3752,1.0568,0.7318,1.655,9.9518,2.375,1.9485,0.2495,0.2089,2.8856,1.1121,7.6906,0.4588,1.4517,0.2939,0.0518,12.8649,7.2131,1.9682,1.472,21.4837,6.5245,0.8446,1.4778,0.1162,0.1561,1.3596,0.9758,2.8307,2.6174,0.1078,2.6775,1.0172,0.1826,2.328,1.0332,0.9072,0.7407,0.6495,30.584,20.5957,1.1032,2
77-0155-01,0.2905,0.2619,6.8772,1.0541,0.5444,1.0361,0.4423,0.797,0.1396,0.8612,0.2278,3.5439,0.1932,8.7716,0.5359,1.7909,1.2961,0.9936,0.8832,55.7568,0.248,3.7374,0.1492,0.7596,0.4353,0.1627,0.4844,0.1778,2.2807,1.0,4.7107,30.2558,0.2404,0.3235,1.3299,0.6055,0.0353,0.5114,1.0816,0.9746,0.811,0.9008,0.5252,1.0,1.3005,0.6595,11.0806,1.1044,0.2163,0.6476,0.1729,1.2563,0.9102,0.8676,0.4457,1.2035,1.522,1.2311,2.7117,2.1088,0.1491,0.8038,17.2107,4.2291,0.7225,0.5321,0.2089,1.3358,0.8101,7.1892,1.8872,1.2072,0.2939,0.0518,0.1736,8.0808,0.1364,1.3575,27.3488,5.1916,3.0832,1.0164,0.1162,25.3185,1.7633,0.1716,0.3203,0.9692,0.3691,1.663,1.2541,0.9973,2.0756,0.5151,3.6148,0.3399,1.0868,3.9956,6.7978,0.5303,0
126-0021-02,1.4824,21.346,11.5834,0.6719,4.0672,1.0208,0.353,0.3748,0.306,6.5188,3.6083,2.412,0.5522,1.1591,0.5492,1.0089,0.6762,2.2625,0.7935,0.3935,7.5936,16.9798,0.4787,0.3891,1.6159,0.4202,4.4145,0.5993,1.0746,1.7872,13.1141,0.2029,0.7375,6.5671,5.3688,1.1928,0.0312,4.0955,2.7521,2.84,4.9454,3.7392,4.6586,4.2488,0.709,0.4049,8.2812,1.5387,0.0923,4.237,1.4894,0.1599,2.6784,0.8419,1.6732,0.6451,1.7622,5.2719,1.0353,1.1342,5.5831,1.7909,0.4126,0.0583,8.8253,0.8495,1.2812,0.5558,0.9347,0.602,2.7468,1.2815,0.2939,0.0518,0.1736,0.3596,11.5312,5.9714,0.8488,4.6131,6.1279,13.7754,0.8926,0.1561,0.0607,4.5602,0.7676,0.8454,0.3342,0.4072,1.1002,1.0263,0.305,0.9846,9.3263,0.8909,0.5483,0.277,0.3846,0.7273,2
77-0249-05,1.0,0.3623,0.1191,1.0,1.799,1.7607,0.9228,0.3748,0.2559,0.7491,1.5581,0.9294,0.2498,1.943,2.2847,1.285,0.8241,0.3982,0.6913,0.3266,0.6357,6.5242,1.0759,0.6967,0.758,1.466,0.4844,0.34,0.4292,0.4305,0.0884,12.6576,0.2404,4.9336,3.2496,0.8578,35.4887,3.0558,2.136,1.917,4.5726,2.8549,2.2485,3.2408,0.8706,0.5385,0.183,1.0311,0.3455,2.4523,0.1729,0.1599,2.5687,0.7859,0.5611,0.5628,0.6366,3.7812,15.3471,1.3262,1.2592,1.2381,0.7965,0.2081,5.9415,0.7908,2.1795,0.6008,1.0,1.0,1.3785,0.4974,0.2939,17.8281,0.1736,0.2968,1.9399,0.8531,1.3224,4.2118,10.8163,0.7797,0.8694,0.6007,3.5313,1.7021,0.4277,1.0,0.1078,0.3109,0.982,0.4808,0.2897,0.5256,0.2351,0.7295,1.6854,0.4788,0.5037,0.8084,0
126-0029-02,0.2643,0.264,0.1191,0.9948,0.184,0.9652,0.0706,2.6485,0.0805,0.6904,0.4173,0.1667,0.1932,2.5102,0.6972,1.2281,0.6976,0.0204,0.755,1.4214,1.499,9.3551,0.1492,0.3678,2.8256,0.1627,0.4844,0.1461,1.8002,2.7893,0.0884,0.2029,0.2404,0.2968,0.1692,1.1245,0.0312,0.528,0.1677,0.2838,0.2854,0.1238,0.3073,0.4068,1.1566,0.0194,0.183,0.8171,0.0923,1.0865,0.3289,0.1599,0.2934,0.9919,4.927,0.5297,1.0676,0.4805,3.4901,0.1091,0.732,0.477,33.9773,12.5244,0.811,0.0995,0.2089,0.6661,0.1789,2.3154,0.9546,1.7035,0.7326,0.0518,0.3272,7.278,0.1334,0.7167,0.8705,1.0,17.2885,12.7842,0.1162,0.1561,0.0607,0.0513,9.5259,0.8435,0.1078,2.3369,0.0236,0.2565,0.7248,0.3831,0.2773,1.7117,0.3242,0.3315,0.1528,0.5782,0
126-0044-01,0.7015,55.3862,2.7129,2.1106,0.4368,0.7828,0.3854,1.6411,0.1384,5.3695,0.762,3.2024,1.0131,0.2128,1.0525,0.9081,1.2845,1.1343,1.2512,1.0,19.4196,1.1269,4.1303,1.1951,0.7524,2.7853,1.3411,1.2553,0.2641,0.5759,7.9562,3.1275,2.8132,1.0406,1.4842,1.3985,0.0312,0.224,0.7273,0.4723,0.4428,0.8192,0.4329,1.2686,0.7514,0.4026,2.4405,2.1711,4.3195,2.1588,1.328,0.1935,0.4371,1.1013,0.9089,0.6662,1.8221,1.0867,1.1582,0.5741,0.9301,1.5866,0.5584,0.0583,2.6101,0.6722,0.5521,3.5509,0.5424,0.4191,0.3127,0.7708,0.2939,0.0518,0.5989,0.6629,2.2492,1.0642,0.9441,1.0573,0.9739,0.9037,5.3087,0.3144,0.2646,1.5314,1.3527,0.8533,0.2688,2.0642,0.7677,0.2807,0.7042,1.633,2.3403,1.1804,1.9261,1.796,4.4742,0.4577,1
126-0048-01,1.528,11.6194,0.1191,0.7014,0.1985,1.1625,0.3858,0.3748,1.0008,0.1925,2.4522,0.2628,0.1932,1.974,1.0444,2.6282,0.691,2.693,0.9207,0.2623,2.7192,0.5605,5.2495,1.3145,4.5235,0.4865,4.2707,0.3693,0.4995,1.0782,0.0884,1.1853,0.5685,0.4165,0.83,1.3944,0.0312,0.224,0.5097,0.4427,0.4854,0.2358,0.2574,0.6862,0.7826,1.1894,0.183,1.4272,4.3733,0.8567,1.2823,0.4205,0.5761,4.9527,1.1267,1.4429,10.554,0.8714,2.6992,0.6744,3.378,1.6263,2.8117,0.7998,0.6444,0.0995,3.9988,0.9513,0.9354,0.9351,0.2635,0.7411,1.8892,0.0518,2.3875,0.7087,0.801,0.5877,0.4176,1.4855,0.6675,0.8883,1.2836,0.4021,0.5582,1.4102,0.8986,1.4099,0.1078,0.8321,0.0236,0.1629,0.442,0.2121,0.6811,2.7428,3.2787,0.304,0.1389,0.5106,1
126-0050-02,6.7683,0.0857,0.2276,0.8339,5.136,0.9791,0.3215,0.6717,0.306,7.8703,0.4952,3.1852,0.7483,0.2143,0.2181,13.0046,8.9261,0.966,0.6367,3.3127,0.1087,0.5524,3.0329,1.0403,1.5455,1.323,1.2887,0.3545,0.2035,1.264,0.2601,0.2029,2.1743,2.9909,4.6375,1.31,0.0312,3.5104,2.5622,2.727,7.4318,0.1238,9.8573,2.3934,0.5373,1.4238,0.183,0.8431,19.4988,1.8183,0.6387,0.1599,3.942,0.8971,0.5588,5.9509,0.5156,3.4934,0.0708,0.1091,1.2147,0.3667,0.5417,0.0583,0.091,0.1165,0.2089,0.1243,1.2446,0.1981,0.2635,0.5026,0.9719,0.1119,0.1736,2.0141,0.1334,0.7354,2.3776,4.0042,0.6319,0.7751,0.8836,0.1561,0.3316,0.0425,0.6146,0.8131,0.1078,0.0805,0.0236,0.1629,0.1362,1.7009,1.2841,0.9782,0.3242,0.1588,0.1389,0.9794,1
126-0051-02,0.7683,0.4082,1.1867,0.6238,1.0,0.4168,2.0809,0.4929,4.6255,7.0312,2.3225,2.3434,1.631,0.0989,1.1244,1.2071,1.1137,1.8314,1.494,0.0564,0.3414,0.7063,0.3362,1.4503,0.7522,0.1627,1.9983,1.5782,8.3091,15.7329,1.1708,2.6044,2.6678,2.1226,2.6433,0.9644,0.0312,2.7745,2.2993,1.6912,2.9518,2.2612,2.8317,2.516,0.7877,1.1759,1.0,1.4155,0.2873,1.463,0.4724,0.333,2.2415,1.0524,1.0427,1.9614,1.939,2.3865,0.116,2.9475,1.1129,1.5062,0.4655,0.0776,3.1686,1.8588,3.9196,2.7736,1.0835,0.1283,5.8567,1.4606,0.3926,0.0518,22.1387,0.3919,1.4783,2.3174,1.814,1.1535,1.0,1.2536,1.244,0.1561,0.4838,0.7715,2.3632,1.2008,1.2095,2.0153,2.2703,2.147,0.3979,4.5737,1.3837,0.5222,0.9875,6.0295,2.7029,3.6872,1
126-0067-01,1.0955,3.7357,0.1191,0.3077,2.6965,0.868,0.7786,0.3748,0.2937,0.14,1.102,0.1045,0.1932,28.9692,0.4147,1.7671,0.6101,0.0204,0.3677,21.9717,0.9857,0.5008,0.1492,0.7597,0.3381,0.5785,0.8698,0.568,0.2658,0.298,0.0884,1.5732,0.2404,3.4355,1.9427,0.5596,0.0312,2.2414,1.5586,2.1871,2.7078,3.6855,3.475,4.1916,0.7945,0.4419,0.183,1.0119,0.0923,1.0553,1.2652,1.499,2.9322,0.8224,8.7983,0.6429,0.4246,4.8021,0.0607,1.4134,1.3705,1.2971,44.1448,9.0108,3.3061,0.0995,0.2089,0.6895,2.778,21.6288,0.2635,0.3236,5.4023,0.0518,0.1736,1.1896,0.2515,0.2912,3.6058,0.4982,0.6642,0.883,0.1162,0.1561,2.0121,0.1563,0.5616,1.0596,0.1078,1.8324,0.0236,0.1629,5.0613,0.8121,0.77,0.5214,0.4212,1.6548,0.5883,1.8227,0
126-0068-01,0.7591,0.3816,0.2414,0.6579,0.1452,0.9213,1.1075,0.3748,2.3127,9.5486,0.863,0.2339,0.5071,0.3136,0.5794,0.6588,0.6212,7.1013,1.0239,3.9158,0.4534,2.9091,0.9844,1.9266,1.949,0.8403,0.4844,1.2706,0.6185,1.0469,0.2686,0.5621,2.1074,0.2968,0.0562,1.4357,0.0312,0.224,0.014,0.063,0.037,0.1238,0.2574,0.0051,4.9925,2.0951,0.183,0.6491,0.7613,0.6788,0.4557,0.3082,0.013,0.6916,0.6604,0.3056,0.6294,0.0397,2.6778,0.7365,0.8828,5.1474,0.3409,0.0583,0.7849,8.6858,0.2801,0.7064,2.5873,0.9514,0.2635,0.3236,6.8325,0.0959,12.8443,0.6711,0.1334,0.2912,1.7808,0.2179,2.3277,0.8903,0.3448,0.1561,0.0607,0.6873,12.2468,1.8172,10.8498,0.7216,0.8083,5.3857,1.1589,0.1273,0.4888,2.1806,0.5578,0.5142,1.183,0.4824,0
126-0069-02,0.6527,0.4931,0.1191,2.0175,0.6336,1.2516,0.2201,2.6168,3.2791,1.1425,1.6593,0.2137,0.1932,0.0598,1.8028,0.6432,0.9584,1.8312,3.6447,0.4337,0.4553,1.2327,3.2255,2.2352,0.9006,2.5419,0.6684,1.5099,13.6688,6.7593,0.0884,2.0392,0.9965,0.2968,0.3454,1.2572,0.1074,0.224,0.7101,0.4114,0.468,0.4235,0.2574,0.4114,1.8691,1.1506,0.183,0.7648,1.2797,0.8983,0.498,2.3312,0.5283,0.7204,6.8772,1.9579,1.6103,0.4487,0.2419,5.9198,2.0963,1.2741,0.0595,0.0583,0.091,0.1216,0.2089,0.6524,1.4011,0.086,0.2635,1.1463,2.9538,0.0518,1.0984,1.0,0.9239,1.0167,0.7307,2.8323,0.3898,1.6804,1.1048,0.1561,4.6894,0.7321,1.6675,1.2065,0.1078,0.5845,0.1035,0.1629,0.2051,0.0311,0.2351,4.2454,0.9026,2.7954,4.5773,0.5943,1
126-0074-02,1.0361,0.7764,3.1307,1.4686,0.1145,1.8058,0.7235,2.7065,16.425,0.7016,2.6177,0.1351,5.825,0.0926,2.5817,1.1589,2.3749,0.2258,2.642,0.1253,0.4367,40.5916,2.5273,1.6611,2.028,0.686,0.8589,4.3742,1.9276,2.1068,1.7783,2.5265,3.9706,0.2968,0.2642,1.3287,0.0312,0.224,0.1565,0.1473,0.037,0.1238,0.2574,0.2739,0.4481,0.6409,4.4131,9.356,2.7429,0.6513,1.531,1.9533,0.1286,0.8361,0.3817,2.0803,0.2235,0.2415,0.0607,2.1823,1.3243,1.716,0.0595,0.0583,0.1132,1.3211,0.2089,2.9702,2.6741,0.1362,0.2635,0.7182,11.5345,0.0518,10.7972,0.9398,0.1334,3.3413,0.5187,0.6664,1.0678,13.9036,4.1871,0.1561,0.1311,0.1648,2.0401,1.1779,0.7662,1.8802,1.5773,0.5924,2.1861,5.1693,1.9383,0.3437,0.3242,30.018,27.9105,0.625,1
126-0075-01,1.0456,1.0851,0.1191,2.7556,0.5725,1.0733,0.5558,2.7262,0.9543,0.3101,0.3947,0.3306,0.4195,0.0954,0.898,1.2645,1.1642,4.1612,1.9045,2.2492,0.9415,1.0613,0.7463,0.969,0.9815,0.1627,0.7425,1.2209,4.4924,1.4106,0.1356,0.8298,0.9493,0.8099,1.4215,0.9549,0.0312,0.3801,1.0062,0.6188,0.8944,1.0,1.1091,1.4298,1.797,1.7277,0.183,6.8923,0.5019,1.0281,0.5602,1.9428,1.0096,0.9099,1.3442,0.8674,2.0312,2.2026,2.0831,1.2199,0.6962,0.9207,1.4627,0.2977,0.9695,0.0995,0.4712,0.3481,0.9945,0.2646,0.2635,0.6803,1.4537,0.0518,0.417,1.0666,0.5053,0.8826,1.1707,0.9686,1.6088,82.4263,1.138,0.1561,0.0607,1.2387,1.932,1.1375,0.1078,0.1845,0.0947,0.1629,0.2476,0.3463,1.0081,0.0726,0.8898,0.6587,1.1538,0.7692,1
126-0102-01,7.7653,12.8724,0.3357,2.6539,4.1886,0.5427,2.966,0.416,5.1458,0.14,0.8364,3.785,0.9417,2.5608,0.1311,3.5066,3.4878,1.3294,0.4765,0.0564,3.0115,0.2562,0.6081,1.1169,0.8299,0.1627,3.2511,2.4012,0.2035,0.5338,0.8426,0.2029,1.1744,0.5793,1.1444,1.0045,0.0312,0.7267,1.5316,1.528,1.1926,1.5976,0.4239,0.8075,8.075,0.1809,0.183,1.2209,0.6124,0.6453,3.5155,0.49,1.1929,1.2053,1.803,2.2922,0.602,0.7057,1.3059,1.8376,1.6778,0.8219,0.2258,0.0616,0.6693,1.3428,0.2089,3.1943,1.4116,2.0288,0.611,3.035,2.5618,0.0518,0.1736,1.1449,6.3909,0.2912,1.8875,0.3775,0.9253,0.8768,3.3148,0.1561,1.0337,3.3897,0.6117,1.0614,2.2765,5.6879,1.2455,1.2436,1.973,1.3196,0.8215,1.6363,0.3242,0.4943,0.3531,13.7383,1
